2026-04-29 00:06:52.451 IST [28683] FATAL:  shmat(id=327683, addr=0x0, flags=0x0) failed: Operation not permitted
2026-04-29 00:06:52.451 IST [28683] LOG:  shmctl(327683, 0, 0) failed: Operation not permitted
2026-04-29 00:06:52.451 IST [28683] LOG:  database system is shut down
2026-04-29 00:07:13.393 IST [28899] LOG:  starting PostgreSQL 19devel on aarch64-apple-darwin25.3.0, compiled by Apple clang version 17.0.0 (clang-1700.4.4.1), 64-bit
2026-04-29 00:07:13.398 IST [28899] LOG:  listening on IPv6 address "::1", port 5544
2026-04-29 00:07:13.398 IST [28899] LOG:  listening on IPv4 address "127.0.0.1", port 5544
2026-04-29 00:07:13.400 IST [28899] LOG:  listening on Unix socket "/tmp/.s.PGSQL.5544"
2026-04-29 00:07:13.403 IST [28904] LOG:  database system was shut down at 2026-04-29 00:06:40 IST
2026-04-29 00:07:13.406 IST [28899] LOG:  database system is ready to accept connections
2026-04-29 00:07:50.657 IST [28899] LOG:  received fast shutdown request
2026-04-29 00:07:50.658 IST [28899] LOG:  aborting any active transactions
2026-04-29 00:07:50.658 IST [28899] LOG:  background worker "logical replication launcher" (PID 28907) exited with exit code 1
2026-04-29 00:07:50.659 IST [28902] LOG:  shutting down
2026-04-29 00:07:50.659 IST [28902] LOG:  checkpoint starting: shutdown fast
2026-04-29 00:07:50.663 IST [28902] LOG:  checkpoint complete: shutdown fast: wrote 16 buffers (0.1%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.005 s; sync files=17, longest=0.001 s, average=0.001 s; distance=53 kB, estimate=53 kB; lsn=0/017502F8, redo lsn=0/017502F8
2026-04-29 00:07:50.667 IST [28899] LOG:  database system is shut down
2026-04-29 00:09:27.512 IST [30461] LOG:  starting PostgreSQL 19devel on aarch64-apple-darwin25.3.0, compiled by Apple clang version 17.0.0 (clang-1700.4.4.1), 64-bit
2026-04-29 00:09:27.515 IST [30461] LOG:  listening on IPv6 address "::1", port 5544
2026-04-29 00:09:27.515 IST [30461] LOG:  listening on IPv4 address "127.0.0.1", port 5544
2026-04-29 00:09:27.515 IST [30461] LOG:  listening on Unix socket "/tmp/.s.PGSQL.5544"
2026-04-29 00:09:27.521 IST [30466] LOG:  database system was shut down at 2026-04-29 00:07:50 IST
2026-04-29 00:09:27.526 IST [30461] LOG:  database system is ready to accept connections
2026-04-29 00:09:42.272 IST [30461] LOG:  received fast shutdown request
2026-04-29 00:09:42.272 IST [30461] LOG:  aborting any active transactions
2026-04-29 00:09:42.272 IST [30461] LOG:  background worker "logical replication launcher" (PID 30469) exited with exit code 1
2026-04-29 00:09:42.272 IST [30464] LOG:  shutting down
2026-04-29 00:09:42.273 IST [30464] LOG:  checkpoint starting: shutdown fast
2026-04-29 00:09:42.275 IST [30464] LOG:  checkpoint complete: shutdown fast: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.003 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/01750378, redo lsn=0/01750378
2026-04-29 00:09:42.278 IST [30461] LOG:  database system is shut down
2026-04-29 00:39:32.098 IST [40019] LOG:  starting PostgreSQL 19devel on aarch64-apple-darwin25.3.0, compiled by Apple clang version 17.0.0 (clang-1700.4.4.1), 64-bit
2026-04-29 00:39:32.104 IST [40019] LOG:  listening on IPv6 address "::1", port 5544
2026-04-29 00:39:32.104 IST [40019] LOG:  listening on IPv4 address "127.0.0.1", port 5544
2026-04-29 00:39:32.106 IST [40019] LOG:  listening on Unix socket "/tmp/.s.PGSQL.5544"
2026-04-29 00:39:32.111 IST [40024] LOG:  database system was shut down at 2026-04-29 00:09:42 IST
2026-04-29 00:39:32.117 IST [40019] LOG:  database system is ready to accept connections
2026-04-29 00:40:07.037 IST [40215] ERROR:  column "indexname" does not exist at character 20
2026-04-29 00:40:07.037 IST [40215] HINT:  Perhaps you meant to reference the column "hypopg_list_indexes.index_name".
2026-04-29 00:40:07.037 IST [40215] STATEMENT:  SELECT indexrelid, indexname FROM hypopg_list_indexes;
2026-04-29 00:44:32.114 IST [40022] LOG:  checkpoint starting: time
2026-04-29 00:45:24.864 IST [41499] FATAL:  pre-existing shared memory block (key 166245698, ID 196612) is still in use
2026-04-29 00:45:24.864 IST [41499] HINT:  Terminate any old server processes associated with data directory "/Users/kabirsprakash/Downloads/Auto_Indexing_Project/pg-custom/data".
2026-04-29 00:45:44.235 IST [41586] ERROR:  cannot drop index ai_demo_orders_pkey because constraint ai_demo_orders_pkey on table ai_demo_orders requires it
2026-04-29 00:45:44.235 IST [41586] HINT:  You can drop constraint ai_demo_orders_pkey on table ai_demo_orders instead.
2026-04-29 00:45:44.235 IST [41586] STATEMENT:  DROP INDEX IF EXISTS "ai_demo_orders_pkey"
2026-04-29 00:46:09.186 IST [40022] LOG:  checkpoint complete: time: wrote 958 buffers (5.8%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=97.061 s, sync=0.008 s, total=97.074 s; sync files=334, longest=0.001 s, average=0.001 s; distance=4445 kB, estimate=4445 kB; lsn=0/04B5E1D0, redo lsn=0/01BA7A00
2026-04-29 00:49:32.182 IST [40022] LOG:  checkpoint starting: time
2026-04-29 00:49:38.607 IST [40022] LOG:  checkpoint complete: time: wrote 63 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 9 recycled; write=6.409 s, sync=0.003 s, total=6.425 s; sync files=49, longest=0.001 s, average=0.001 s; distance=146126 kB, estimate=146126 kB; lsn=0/0AA5B368, redo lsn=0/0AA5B308
